ProcessID,ArrivalTime,BurstTime
1,0.025,394
2,0.025,388
3,0.025,343
4,0.025,136
5,0.0275,390
6,0.0275,31
7,0.03,213
8,0.03,64
9,0.035,289
10,0.035,153
11,0.035,13
12,0.04,74
13,0.0425,272
14,0.045,374
15,0.045,399
16,0.045,250
17,0.0475,142
18,0.05,330
19,0.055,365
20,0.055,191
21,0.0575,380
22,0.0575,243
23,0.06,270
24,0.0625,51
25,0.0625,63
26,0.065,232
27,0.065,260
28,0.0675,172
29,0.07,148
30,0.07,228
31,0.0725,381
32,0.0725,255
33,0.075,121
34,0.075,301
35,0.0825,249
36,0.0825,356
37,0.0825,31
38,0.0875,59
39,0.09,112
40,0.0925,74
41,0.095,10
42,0.095,132
43,0.0975,335
44,0.1,358
45,0.105,146
46,0.105,63
47,0.105,107
48,0.11,217
49,0.115,371
50,0.1175,83
51,0.1175,281
52,0.1225,291
53,0.125,143
54,0.125,314
55,0.125,339
56,0.1275,268
57,0.1275,234
58,0.13,312
59,0.1325,335
60,0.14,297
61,0.14,162
62,0.1425,149
63,0.1475,13
64,0.1475,133
65,0.155,54
66,0.1625,163
67,0.1675,392
68,0.1675,107
69,0.1675,117
70,0.17,376
71,0.1725,157
72,0.175,198
73,0.175,305
74,0.175,356
75,0.1775,104
76,0.1775,361
77,0.1775,141
78,0.18,101
79,0.18,276
80,0.18,350
81,0.1825,276
82,0.1925,211
83,0.195,316
84,0.2,11
85,0.2,317
86,0.2025,167
87,0.2025,133
88,0.205,279
89,0.205,238
90,0.2075,20
91,0.2075,181
92,0.2125,288
93,0.2125,330
94,0.215,80
95,0.2175,71
96,0.22,106
97,0.22,179
98,0.22,332
99,0.22,344
100,0.2225,264
101,0.2225,241
102,0.225,82
103,0.225,182
104,0.2275,43
105,0.2275,283
106,0.2275,144
107,0.2275,277
108,0.23,159
109,0.2325,357
110,0.2325,165
111,0.2325,174
112,0.2325,10
113,0.235,22
114,0.24,255
115,0.25,313
116,0.25,246
117,0.25,365
118,0.2525,251
119,0.255,184
120,0.2575,172
121,0.2575,65
122,0.26,304
123,0.26,265
124,0.2625,304
125,0.265,18
126,0.265,231
127,0.27,244
128,0.27,398
129,0.2725,338
130,0.2725,159
131,0.2775,39
132,0.28,369
133,0.28,130
134,0.28,399
135,0.2875,159
136,0.2875,298
137,0.2925,367
138,0.2975,157
139,0.3025,344
140,0.3025,55
141,0.3025,304
142,0.305,11
143,0.3075,48
144,0.3075,137
145,0.3125,56
146,0.3125,115
147,0.315,29
148,0.3175,282
149,0.3175,153
150,0.3175,182
151,0.3225,345
152,0.3225,65
153,0.325,281
154,0.33,199
155,0.3325,271
156,0.335,364
157,0.335,51
158,0.335,78
159,0.335,97
160,0.3375,315
161,0.34,57
162,0.34,62
163,0.3425,114
164,0.3475,361
165,0.3475,17
166,0.3475,226
167,0.35,251
168,0.3525,150
169,0.3525,378
170,0.355,247
171,0.36,75
172,0.36,47
173,0.3625,342
174,0.365,85
175,0.3675,276
176,0.37,129
177,0.37,97
178,0.3725,222
179,0.3725,13
180,0.3725,284
181,0.3775,110
182,0.3775,216
183,0.3775,294
184,0.3775,107
185,0.38,384
186,0.38,212
187,0.38,97
188,0.3825,160
189,0.385,136
190,0.3875,200
191,0.3875,322
192,0.39,26
193,0.39,323
194,0.3925,62
195,0.395,85
196,0.395,294
197,0.395,216
198,0.395,251
199,0.3975,363
200,0.4025,377
201,0.4025,174
202,0.41,272
203,0.41,199
204,0.4125,296
205,0.415,17
206,0.415,207
207,0.42,84
208,0.4225,85
209,0.425,141
210,0.4275,208
211,0.43,270
212,0.43,36
213,0.43,78
214,0.435,399
215,0.435,342
216,0.435,92
217,0.4375,128
218,0.4375,207
219,0.44,106
220,0.44,136
221,0.4475,119
222,0.4475,31
223,0.4525,201
224,0.4525,260
225,0.455,173
226,0.455,271
227,0.4575,116
228,0.4575,25
229,0.4625,331
230,0.4625,327
231,0.4625,194
232,0.465,392
233,0.465,44
234,0.4675,214
235,0.4675,303
236,0.4675,123
237,0.47,209
238,0.47,333
239,0.4725,292
240,0.4775,177
241,0.48,26
242,0.48,342
243,0.48,147
244,0.49,60
245,0.4925,256
246,0.5025,362
247,0.5025,387
248,0.505,19
249,0.5075,282
250,0.5075,314
251,0.51,166
252,0.515,110
253,0.515,26
254,0.5175,45
255,0.5175,88
256,0.52,76
257,0.52,154
258,0.5225,111
259,0.5225,369
260,0.5275,44
261,0.53,153
262,0.5325,24
263,0.5375,111
264,0.5375,308
265,0.54,296
266,0.5425,346
267,0.5425,369
268,0.5425,343
269,0.545,207
270,0.55,316
271,0.5525,322
272,0.555,276
273,0.5575,231
274,0.56,206
275,0.56,265
276,0.5625,28
277,0.5675,248
278,0.5675,360
279,0.57,372
280,0.57,381
281,0.5725,98
282,0.585,349
283,0.5875,380
284,0.5925,193
285,0.5925,293
286,0.595,357
287,0.595,215
288,0.595,323
289,0.5975,281
290,0.5975,257
291,0.5975,106
292,0.6,280
293,0.6025,237
294,0.6025,318
295,0.6075,94
296,0.61,251
297,0.6125,257
298,0.6125,254
299,0.6125,263
300,0.6175,90
301,0.62,284
302,0.6225,109
303,0.6225,45
304,0.625,247
305,0.625,374
306,0.6275,348
307,0.6275,260
308,0.6275,379
309,0.6275,215
310,0.63,203
311,0.6325,104
312,0.635,263
313,0.635,19
314,0.6375,380
315,0.6375,365
316,0.6375,378
317,0.64,331
318,0.64,131
319,0.64,139
320,0.6425,131
321,0.6425,343
322,0.645,32
323,0.6475,13
324,0.6525,331
325,0.6525,130
326,0.655,199
327,0.655,23
328,0.6575,283
329,0.66,15
330,0.66,307
331,0.66,82
332,0.6625,346
333,0.6625,41
334,0.6625,85
335,0.665,49
336,0.665,40
337,0.665,262
338,0.6675,115
339,0.6725,86
340,0.6725,391
341,0.675,76
342,0.6775,131
343,0.6825,32
344,0.685,25
345,0.685,289
346,0.685,360
347,0.6875,324
348,0.6925,19
349,0.695,237
350,0.695,260
351,0.6975,166
352,0.7025,296
353,0.7025,153
354,0.705,273
355,0.7075,165
356,0.71,18
357,0.71,95
358,0.7175,344
359,0.7225,71
360,0.7275,176
361,0.7275,348
362,0.7275,171
363,0.7325,347
364,0.7325,243
365,0.7325,134
366,0.7325,359
367,0.735,59
368,0.7375,248
369,0.74,200
370,0.74,208
371,0.7425,302
372,0.745,336
373,0.7475,223
374,0.7525,256
375,0.7525,84
376,0.755,334
377,0.755,277
378,0.7575,176
379,0.7575,324
380,0.7575,160
381,0.7575,363
382,0.7625,105
383,0.765,400
384,0.765,190
385,0.7675,268
386,0.7675,361
387,0.77,86
388,0.77,105
389,0.77,24
390,0.7725,186
391,0.7725,174
392,0.7725,18
393,0.775,258
394,0.7775,366
395,0.7775,287
396,0.7775,122
397,0.7775,90
398,0.7825,311
399,0.785,37
400,0.785,231
401,0.7875,55
402,0.7875,277
403,0.7875,16
404,0.79,99
405,0.79,48
406,0.7925,295
407,0.7925,254
408,0.795,94
409,0.7975,248
410,0.7975,277
411,0.8025,245
412,0.805,389
413,0.81,27
414,0.8125,206
415,0.8125,187
416,0.815,301
417,0.815,359
418,0.815,98
419,0.815,110
420,0.8225,327
421,0.8225,353
422,0.8275,380
423,0.8275,324
424,0.8325,212
425,0.8325,360
426,0.835,328
427,0.835,98
428,0.835,88
429,0.8375,357
430,0.84,366
431,0.845,79
432,0.845,15
433,0.845,325
434,0.845,132
435,0.845,253
436,0.8475,296
437,0.8475,84
438,0.8525,70
439,0.855,393
440,0.855,89
441,0.855,69
442,0.8575,44
443,0.86,292
444,0.865,46
445,0.865,308
446,0.8675,192
447,0.8675,371
448,0.8675,307
449,0.8725,395
450,0.8725,157
451,0.875,117
452,0.875,321
453,0.8775,388
454,0.8775,348
455,0.8775,26
456,0.8775,303
457,0.8775,174
458,0.8825,333
459,0.8825,27
460,0.8825,49
461,0.8875,355
462,0.89,147
463,0.8975,85
464,0.8975,167
465,0.9,279
466,0.9025,349
467,0.91,178
468,0.9125,226
469,0.9125,340
470,0.915,225
471,0.9225,282
472,0.9275,272
473,0.9325,231
474,0.9325,250
475,0.935,125
476,0.94,71
477,0.9425,286
478,0.9425,170
479,0.95,30
480,0.95,93
481,0.95,146
482,0.9525,330
483,0.9525,211
484,0.955,107
485,0.955,290
486,0.9575,97
487,0.9575,107
488,0.9625,88
489,0.9675,250
490,0.9725,42
491,0.9725,240
492,0.98,312
493,0.9825,167
494,0.9825,282
495,0.9875,83
496,0.99,372
497,0.99,311
498,0.9925,133
499,0.995,61
500,1.0,396
501,1.0025,126
502,1.005,133
503,1.0075,205
504,1.01,78
505,1.0125,269
506,1.015,79
507,1.0175,370
508,1.02,366
509,1.0225,151
510,1.025,132
511,1.0275,240
512,1.03,188
513,1.0325,241
514,1.035,122
515,1.0375,178
516,1.04,243
517,1.0425,166
518,1.045,269
519,1.0475,348
520,1.05,365
521,1.0525,114
522,1.055,212
523,1.0575,380
524,1.06,268
525,1.0625,148
526,1.065,183
527,1.0675,276
528,1.07,319
529,1.0725,210
530,1.075,175
531,1.0775,374
532,1.08,61
533,1.0825,385
534,1.085,350
535,1.0875,119
536,1.09,400
537,1.0925,296
538,1.095,68
539,1.0975,96
540,1.1,158
541,1.1025,239
542,1.105,100
543,1.1075,389
544,1.11,276
545,1.1125,343
546,1.115,250
547,1.1175,214
548,1.12,72
549,1.1225,115
550,1.125,385
551,1.1275,130
552,1.13,135
553,1.1325,91
554,1.135,123
555,1.1375,259
556,1.1400000000000001,236
557,1.1425,337
558,1.145,115
559,1.1475,160
560,1.15,91
561,1.1525,256
562,1.155,171
563,1.1575,92
564,1.16,251
565,1.1625,343
566,1.165,180
567,1.1675,345
568,1.17,96
569,1.1725,308
570,1.175,158
571,1.1775,285
572,1.18,191
573,1.1825,181
574,1.185,398
575,1.1875,116
576,1.19,153
577,1.1925,348
578,1.195,101
579,1.1975,75
580,1.2,111
581,1.2025000000000001,199
582,1.205,93
583,1.2075,306
584,1.21,208
585,1.2125,249
586,1.215,258
587,1.2175,253
588,1.22,226
589,1.2225,264
590,1.225,85
591,1.2275,146
592,1.23,55
593,1.2325,138
594,1.235,184
595,1.2375,124
596,1.24,218
597,1.2425,209
598,1.245,57
599,1.2475,369
600,1.25,178
601,1.2525,231
602,1.255,214
603,1.2575,252
604,1.26,127
605,1.2625,155
606,1.2650000000000001,258
607,1.2675,122
608,1.27,202
609,1.2725,84
610,1.275,203
611,1.2775,391
612,1.28,243
613,1.2825,343
614,1.2850000000000001,63
615,1.2875,156
616,1.29,397
617,1.2925,276
618,1.295,366
619,1.2974999999999999,330
620,1.3,396
621,1.3025,283
622,1.305,137
623,1.3075,349
624,1.31,310
625,1.3125,221
626,1.315,374
627,1.3175,322
628,1.32,269
629,1.3225,156
630,1.325,340
631,1.3275000000000001,268
632,1.33,99
633,1.3325,284
634,1.335,336
635,1.3375,296
636,1.34,56
637,1.3425,126
638,1.345,93
639,1.3475000000000001,167
640,1.35,204
641,1.3525,309
642,1.355,96
643,1.3575,344
644,1.3599999999999999,338
645,1.3625,54
646,1.365,133
647,1.3675,196
648,1.37,300
649,1.3725,333
650,1.375,314
651,1.3775,342
652,1.38,93
653,1.3825,257
654,1.385,140
655,1.3875,56
656,1.3900000000000001,190
657,1.3925,156
658,1.395,170
659,1.3975,277
660,1.4,68
661,1.4025,61
662,1.405,199
663,1.4075,343
664,1.4100000000000001,259
665,1.4125,214
666,1.415,365
667,1.4175,79
668,1.42,275
669,1.4224999999999999,192
670,1.425,236
671,1.4275,242
672,1.43,332
673,1.4325,164
674,1.435,152
675,1.4375,339
676,1.44,382
677,1.4425,120
678,1.445,213
679,1.4475,93
680,1.45,138
681,1.4525000000000001,307
682,1.455,208
683,1.4575,195
684,1.46,226
685,1.4625,342
686,1.465,398
687,1.4675,117
688,1.47,358
689,1.4725000000000001,338
690,1.475,274
691,1.4775,400
692,1.48,84
693,1.4825,238
694,1.4849999999999999,116
695,1.4875,381
696,1.49,205
697,1.4925,179
698,1.495,275
699,1.4975,317
700,1.5,312
701,1.5025,299
702,1.505,259
703,1.5075,137
704,1.51,223
705,1.5125,62
706,1.5150000000000001,124
707,1.5175,227
708,1.52,341
709,1.5225,380
710,1.525,117
711,1.5274999999999999,149
712,1.53,373
713,1.5325,262
714,1.5350000000000001,219
715,1.5375,147
716,1.54,211
717,1.5425,152
718,1.545,138
719,1.5474999999999999,309
720,1.55,68
721,1.5525,194
722,1.5550000000000002,382
723,1.5575,398
724,1.56,64
725,1.5625,365
726,1.565,310
727,1.5675,297
728,1.57,56
729,1.5725,356
730,1.5750000000000002,158
731,1.5775000000000001,94
732,1.58,386
733,1.5825,249
734,1.585,213
735,1.5875,122
736,1.5899999999999999,62
737,1.5925,346
738,1.595,164
739,1.5975000000000001,341
740,1.6,336
741,1.6025,108
742,1.605,83
743,1.6075,312
744,1.6099999999999999,303
745,1.6125,367
746,1.615,250
747,1.6175000000000002,92
748,1.62,140
749,1.6225,254
750,1.625,200
751,1.6275,341
752,1.63,274
753,1.6325,218
754,1.635,335
755,1.6375000000000002,125
756,1.6400000000000001,271
757,1.6425,92
758,1.645,84
759,1.6475,236
760,1.65,324
761,1.6524999999999999,170
762,1.655,251
763,1.6575,222
764,1.6600000000000001,344
765,1.6625,90
766,1.665,221
767,1.6675,168
768,1.67,310
769,1.6724999999999999,350
770,1.675,295
771,1.6775,325
772,1.6800000000000002,180
773,1.6825,373
774,1.685,237
775,1.6875,326
776,1.69,309
777,1.6925,202
778,1.695,236
