ProcessID,ArrivalTime
1,0.025
2,0.025
3,0.025
4,0.025
5,0.0275
6,0.0275
7,0.03
8,0.03
9,0.035
10,0.035
11,0.035
12,0.04
13,0.0425
14,0.045
15,0.045
16,0.045
17,0.0475
18,0.05
19,0.055
20,0.055
21,0.0575
22,0.0575
23,0.06
24,0.0625
25,0.0625
26,0.065
27,0.065
28,0.0675
29,0.07
30,0.07
31,0.0725
32,0.0725
33,0.075
34,0.075
35,0.0825
36,0.0825
37,0.0825
38,0.0875
39,0.09
40,0.0925
41,0.095
42,0.095
43,0.0975
44,0.1
45,0.105
46,0.105
47,0.105
48,0.11
49,0.115
50,0.1175
51,0.1175
52,0.1225
53,0.125
54,0.125
55,0.125
56,0.1275
57,0.1275
58,0.13
59,0.1325
60,0.14
61,0.14
62,0.1425
63,0.1475
64,0.1475
65,0.155
66,0.1625
67,0.1675
68,0.1675
69,0.1675
70,0.17
71,0.1725
72,0.175
73,0.175
74,0.175
75,0.1775
76,0.1775
77,0.1775
78,0.18
79,0.18
80,0.18
81,0.1825
82,0.1925
83,0.195
84,0.2
85,0.2
86,0.2025
87,0.2025
88,0.205
89,0.205
90,0.2075
91,0.2075
92,0.2125
93,0.2125
94,0.215
95,0.2175
96,0.22
97,0.22
98,0.22
99,0.22
100,0.2225
101,0.2225
102,0.225
103,0.225
104,0.2275
105,0.2275
106,0.2275
107,0.2275
108,0.23
109,0.2325
110,0.2325
111,0.2325
112,0.2325
113,0.235
114,0.24
115,0.25
116,0.25
117,0.25
118,0.2525
119,0.255
120,0.2575
121,0.2575
122,0.26
123,0.26
124,0.2625
125,0.265
126,0.265
127,0.27
128,0.27
129,0.2725
130,0.2725
131,0.2775
132,0.28
133,0.28
134,0.28
135,0.2875
136,0.2875
137,0.2925
138,0.2975
139,0.3025
140,0.3025
141,0.3025
142,0.305
143,0.3075
144,0.3075
145,0.3125
146,0.3125
147,0.315
148,0.3175
149,0.3175
150,0.3175
151,0.3225
152,0.3225
153,0.325
154,0.33
155,0.3325
156,0.335
157,0.335
158,0.335
159,0.335
160,0.3375
161,0.34
162,0.34
163,0.3425
164,0.3475
165,0.3475
166,0.3475
167,0.35
168,0.3525
169,0.3525
170,0.355
171,0.36
172,0.36
173,0.3625
174,0.365
175,0.3675
176,0.37
177,0.37
178,0.3725
179,0.3725
180,0.3725
181,0.3775
182,0.3775
183,0.3775
184,0.3775
185,0.38
186,0.38
187,0.38
188,0.3825
189,0.385
190,0.3875
191,0.3875
192,0.39
193,0.39
194,0.3925
195,0.395
196,0.395
197,0.395
198,0.395
199,0.3975
200,0.4025
201,0.4025
202,0.41
203,0.41
204,0.4125
205,0.415
206,0.415
207,0.42
208,0.4225
209,0.425
210,0.4275
211,0.43
212,0.43
213,0.43
214,0.435
215,0.435
216,0.435
217,0.4375
218,0.4375
219,0.44
220,0.44
221,0.4475
222,0.4475
223,0.4525
224,0.4525
225,0.455
226,0.455
227,0.4575
228,0.4575
229,0.4625
230,0.4625
231,0.4625
232,0.465
233,0.465
234,0.4675
235,0.4675
236,0.4675
237,0.47
238,0.47
239,0.4725
240,0.4775
241,0.48
242,0.48
243,0.48
244,0.49
245,0.4925
246,0.5025
247,0.5025
248,0.505
249,0.5075
250,0.5075
251,0.51
252,0.515
253,0.515
254,0.5175
255,0.5175
256,0.52
257,0.52
258,0.5225
259,0.5225
260,0.5275
261,0.53
262,0.5325
263,0.5375
264,0.5375
265,0.54
266,0.5425
267,0.5425
268,0.5425
269,0.545
270,0.55
271,0.5525
272,0.555
273,0.5575
274,0.56
275,0.56
276,0.5625
277,0.5675
278,0.5675
279,0.57
280,0.57
281,0.5725
282,0.585
283,0.5875
284,0.5925
285,0.5925
286,0.595
287,0.595
288,0.595
289,0.5975
290,0.5975
291,0.5975
292,0.6
293,0.6025
294,0.6025
295,0.6075
296,0.61
297,0.6125
298,0.6125
299,0.6125
300,0.6175
301,0.62
302,0.6225
303,0.6225
304,0.625
305,0.625
306,0.6275
307,0.6275
308,0.6275
309,0.6275
310,0.63
311,0.6325
312,0.635
313,0.635
314,0.6375
315,0.6375
316,0.6375
317,0.64
318,0.64
319,0.64
320,0.6425
321,0.6425
322,0.645
323,0.6475
324,0.6525
325,0.6525
326,0.655
327,0.655
328,0.6575
329,0.66
330,0.66
331,0.66
332,0.6625
333,0.6625
334,0.6625
335,0.665
336,0.665
337,0.665
338,0.6675
339,0.6725
340,0.6725
341,0.675
342,0.6775
343,0.6825
344,0.685
345,0.685
346,0.685
347,0.6875
348,0.6925
349,0.695
350,0.695
351,0.6975
352,0.7025
353,0.7025
354,0.705
355,0.7075
356,0.71
357,0.71
358,0.7175
359,0.7225
360,0.7275
361,0.7275
362,0.7275
363,0.7325
364,0.7325
365,0.7325
366,0.7325
367,0.735
368,0.7375
369,0.74
370,0.74
371,0.7425
372,0.745
373,0.7475
374,0.7525
375,0.7525
376,0.755
377,0.755
378,0.7575
379,0.7575
380,0.7575
381,0.7575
382,0.7625
383,0.765
384,0.765
385,0.7675
386,0.7675
387,0.77
388,0.77
389,0.77
390,0.7725
391,0.7725
392,0.7725
393,0.775
394,0.7775
395,0.7775
396,0.7775
397,0.7775
398,0.7825
399,0.785
400,0.785
401,0.7875
402,0.7875
403,0.7875
404,0.79
405,0.79
406,0.7925
407,0.7925
408,0.795
409,0.7975
410,0.7975
411,0.8025
412,0.805
413,0.81
414,0.8125
415,0.8125
416,0.815
417,0.815
418,0.815
419,0.815
420,0.8225
421,0.8225
422,0.8275
423,0.8275
424,0.8325
425,0.8325
426,0.835
427,0.835
428,0.835
429,0.8375
430,0.84
431,0.845
432,0.845
433,0.845
434,0.845
435,0.845
436,0.8475
437,0.8475
438,0.8525
439,0.855
440,0.855
441,0.855
442,0.8575
443,0.86
444,0.865
445,0.865
446,0.8675
447,0.8675
448,0.8675
449,0.8725
450,0.8725
451,0.875
452,0.875
453,0.8775
454,0.8775
455,0.8775
456,0.8775
457,0.8775
458,0.8825
459,0.8825
460,0.8825
461,0.8875
462,0.89
463,0.8975
464,0.8975
465,0.9
466,0.9025
467,0.91
468,0.9125
469,0.9125
470,0.915
471,0.9225
472,0.9275
473,0.9325
474,0.9325
475,0.935
476,0.94
477,0.9425
478,0.9425
479,0.95
480,0.95
481,0.95
482,0.9525
483,0.9525
484,0.955
485,0.955
486,0.9575
487,0.9575
488,0.9625
489,0.9675
490,0.9725
491,0.9725
492,0.98
493,0.9825
494,0.9825
495,0.9875
496,0.99
497,0.99
498,0.9925
499,0.995
500,1
501,1.0025
502,1.005
503,1.0075
504,1.01
505,1.0125
506,1.015
507,1.0175
508,1.02
509,1.0225
510,1.025
511,1.0275
512,1.03
513,1.0325
514,1.035
515,1.0375
516,1.04
517,1.0425
518,1.045
519,1.0475
520,1.05
521,1.0525
522,1.055
523,1.0575
524,1.06
525,1.0625
526,1.065
527,1.0675
528,1.07
529,1.0725
530,1.075
531,1.0775
532,1.08
533,1.0825
534,1.085
535,1.0875
536,1.09
537,1.0925
538,1.095
539,1.0975
540,1.1
541,1.1025
542,1.105
543,1.1075
544,1.11
545,1.1125
546,1.115
547,1.1175
548,1.12
549,1.1225
550,1.125
551,1.1275
552,1.13
553,1.1325
554,1.135
555,1.1375
556,1.14
557,1.1425
558,1.145
559,1.1475
560,1.15
561,1.1525
562,1.155
563,1.1575
564,1.16
565,1.1625
566,1.165
567,1.1675
568,1.17
569,1.1725
570,1.175
571,1.1775
572,1.18
573,1.1825
574,1.185
575,1.1875
576,1.19
577,1.1925
578,1.195
579,1.1975
580,1.2
581,1.2025
582,1.205
583,1.2075
584,1.21
585,1.2125
586,1.215
587,1.2175
588,1.22
589,1.2225
590,1.225
591,1.2275
592,1.23
593,1.2325
594,1.235
