ProcessID,BurstTime
1,19
2,21
3,21
4,23
5,23
6,24
7,23
8,23
9,23
10,23
11,26
12,26
13,28
14,28
15,27
16,28
17,29
18,29
19,27
20,28
21,27
22,30
23,29
24,28
25,30
26,30
27,29
28,28
29,30
30,30
31,30
32,30
33,30
34,30
35,30
36,30
37,29
38,28
39,28
40,30
41,30
42,30
43,27
44,27
45,26
46,27
47,28
48,27
49,27
50,28
51,25
52,26
53,26
54,24
55,25
56,25
57,25
58,21
59,24
60,22
61,20
62,21
63,22
64,20
65,19
66,19
67,17
68,16
69,16
70,15
71,15
72,15
73,16
74,14
75,14
76,16
77,14
78,14
79,12
80,12
81,11
82,11
83,11
84,10
85,10
86,10
87,11
88,10
89,10
90,10
91,11
92,10
93,11
94,11
95,10
96,12
97,12
98,10
99,10
100,12
101,11
102,10
103,10
104,10
105,11
106,12
107,11
108,12
109,13
110,11
111,12
112,14
113,15
114,14
115,15
116,13
117,15
118,16
119,15
120,16
121,17
122,16
123,17
124,18
125,18
126,18
127,22
128,21
129,22
130,23
131,22
132,21
133,23
134,24
135,25
136,24
137,23
138,25
139,25
140,27
141,27
142,26
143,29
144,28
145,27
146,27
147,27
148,28
149,28
150,28
151,29
152,28
153,30
154,28
155,30
156,30
157,30
158,28
159,30
160,30
161,30
162,30
163,29
164,28
165,30
166,30
167,29
168,29
169,28
170,29
171,27
172,27
173,27
174,27
175,26
176,25
177,26
178,25
179,25
180,23
181,24
182,24
183,21
184,22
185,21
186,20
187,23
188,20
189,21
190,19
191,20
192,20
193,19
194,18
195,17
196,16
197,18
198,17
199,17
200,13
201,15
202,16
203,12
204,12
205,14
206,13
207,14
208,11
209,13
210,10
211,10
212,10
213,12
214,11
215,11
216,10
217,12
218,10
219,11
220,10
221,10
222,10
223,10
224,11
225,10
226,10
227,12
228,10
229,11
230,13
231,12
232,10
233,14
234,13
235,12
236,11
237,14
238,14
239,14
240,16
241,16
242,14
243,15
244,15
245,17
246,15
247,18
248,19
249,20
250,18
251,21
252,18
253,22
254,19
255,21
256,23
257,21
258,22
259,24
260,25
261,25
262,25
263,25
264,25
265,25
266,25
267,28
268,27
269,27
270,28
271,30
272,27
273,29
274,29
275,30
276,27
277,30
278,30
279,30
280,30
281,30
282,30
283,29
284,30
285,30
286,30
287,30
288,30
289,30
290,29
291,28
292,30
293,30
294,27
295,30
296,30
297,28
298,28
299,27
300,25
301,26
302,27
303,24
304,25
305,24
306,25
307,26
308,23
309,22
310,24
311,22
312,20
313,21
314,19
315,19
316,20
317,19
318,20
319,18
320,18
321,18
322,15
323,17
324,14
325,17
326,13
327,14
328,12
329,16
330,13
331,13
332,11
333,13
334,11
335,13
336,10
337,10
338,10
339,11
340,11
341,10
342,11
343,10
344,10
345,10
346,10
347,10
348,10
349,10
350,12
351,12
352,10
353,10
354,11
355,11
356,10
357,10
358,12
359,13
360,10
361,11
362,12
363,14
364,12
365,12
366,16
367,13
368,16
369,15
370,15
371,16
372,18
373,19
374,19
375,18
376,20
377,18
378,19
379,22
380,19
381,20
382,21
383,21
384,22
385,24
386,24
387,26
388,26
389,25
390,25
391,26
392,27
393,26
394,28
395,27
396,28
397,28
398,28
399,30
400,30
401,28
402,30
403,29
404,30
405,30
406,30
407,28
408,29
409,30
410,30
411,29
412,28
413,30
414,30
415,30
416,28
417,28
418,27
419,30
420,27
421,29
422,27
423,28
424,28
425,28
426,26
427,24
428,25
429,27
430,27
431,25
432,25
433,24
434,22
435,25
436,22
437,21
438,21
439,19
440,19
441,21
442,18
443,19
444,17
445,17
446,17
447,16
448,17
449,15
450,16
451,15
452,15
453,16
454,15
455,12
456,11
457,12
458,13
459,10
460,12
461,12
462,11
463,12
464,10
465,10
466,11
467,10
468,11
469,10
470,10
471,11
472,11
473,11
474,10
475,10
476,10
477,10
478,12
479,10
480,13
481,11
482,10
483,12
484,13
485,13
486,14
487,13
488,14
489,15
490,13
491,14
492,13
493,17
494,17
495,14
496,17
497,18
498,16
499,18
500,20
501,17
502,20
503,19
504,22
505,23
506,23
507,22
508,24
509,24
510,22
511,25
512,22
513,25
514,24
515,24
516,24
517,27
518,26
519,28
520,26
521,27
522,28
523,29
524,28
525,29
526,30
527,30
528,28
529,28
530,30
531,28
532,30
533,30
534,30
535,30
536,30
537,29
538,30
539,29
540,30
541,30
542,30
543,30
544,30
545,28
546,28
547,29
548,27
549,26
550,27
551,26
552,26
553,25
554,24
555,24
556,27
557,24
558,24
559,24
560,22
561,25
562,23
563,20
564,21
565,22
566,22
567,20
568,20
569,17
570,20
571,17
572,19
573,17
574,17
575,16
576,14
577,14
578,13
579,13
580,15
581,13
582,11
583,15
584,14
585,14
586,14
587,10
588,11
589,12
590,12
591,10
592,12
593,10
594,10
595,10
596,10
597,10
598,10
599,12
600,10
601,10
602,12
603,12
604,12
605,12
606,11
607,11
608,10
609,11
610,11
611,11
612,13
613,13
614,11
615,12
616,15
617,13
618,16
619,15
620,15
621,16
622,18
623,16
624,18
625,18
626,17
627,20
628,21
629,20
630,22
631,22
632,22
633,23
634,23
635,24
636,24
637,25
638,23
639,26
640,27
641,24
642,27
643,25
644,26
645,28
646,26
647,29
648,29
649,28
650,27
651,28
652,30
653,30
654,30
655,29
656,30
657,30
658,30
659,28
660,30
661,30
662,30
663,29
664,30
665,30
666,28
667,30
668,30
669,27
670,28
671,30
672,27
673,29
674,27
675,28
676,25
677,28
678,28
679,28
680,27
681,24
682,26
683,23
684,22
685,23
686,23
687,24
688,23
689,21
690,20
691,23
692,20
693,19
694,18
695,20
696,19
697,16
698,15
699,17
700,17
701,15
702,17
703,13
704,14
705,16
706,13
707,14
708,12
709,12
710,14
711,12
712,13
713,10
714,10
715,10
716,11
717,10
718,12
719,10
720,12
721,10
722,12
723,11
724,11
725,11
726,11
727,11
728,10
729,10
730,12
731,11
732,12
733,11
734,10
735,10
736,13
737,12
738,11
739,13
740,11
741,14
742,13
743,16
744,14
745,15
746,14
747,14
748,16
749,17
750,18
751,17
752,19
753,20
754,21
755,18
756,20
757,19
758,20
759,24
760,21
761,23
762,24
763,25
764,25
765,23
766,25
767,26
768,24
769,26
770,25
771,25
772,27
773,26
774,28
775,29
776,30
777,28
778,28
779,28
780,30
781,30
782,28
783,30
784,28
785,30
786,30
787,30
