ProcessID,ArrivalTime,BurstTime
156,0.025,388
493,0.025,136
305,0.025,394
158,0.0275,390
110,0.0275,31
209,0.03,64
114,0.03,213
76,0.035,153
456,0.035,13
234,0.035,289
177,0.04,74
219,0.0425,272
52,0.045,399
366,0.045,250
85,0.0475,142
103,0.05,330
184,0.055,365
2,0.055,191
255,0.06,270
246,0.0625,63
264,0.0625,51
499,0.065,260
55,0.065,232
430,0.0675,172
149,0.07,148
200,0.07,228
466,0.0725,381
367,0.0725,255
392,0.075,301
141,0.075,121
136,0.0825,356
169,0.0825,31
233,0.0875,59
295,0.09,112
94,0.0925,74
54,0.095,132
39,0.095,10
420,0.0975,335
131,0.105,146
354,0.105,107
216,0.105,63
379,0.11,217
332,0.1225,291
477,0.1275,268
44,0.1275,234
256,0.13,312
262,0.14,297
391,0.14,162
138,0.1425,149
232,0.1475,133
484,0.1475,13
500,0.155,54
116,0.1625,163
241,0.1675,107
333,0.1675,392
410,0.1675,117
344,0.17,376
422,0.1725,157
427,0.175,305
270,0.175,356
82,0.1775,141
27,0.1775,104
58,0.1775,361
119,0.18,350
425,0.18,276
464,0.18,101
33,0.1925,211
122,0.195,316
21,0.2,11
46,0.2,317
176,0.2025,167
351,0.2025,133
140,0.2075,20
448,0.2075,181
100,0.2125,288
397,0.215,80
487,0.2175,71
277,0.22,332
279,0.22,344
424,0.22,106
171,0.22,179
377,0.2225,241
79,0.225,182
67,0.2275,277
416,0.2275,144
334,0.23,159
303,0.2325,357
337,0.2325,10
222,0.2325,165
78,0.2325,174
433,0.235,22
120,0.24,255
37,0.25,365
23,0.25,246
42,0.25,313
248,0.2525,251
40,0.255,184
250,0.2575,172
13,0.2575,65
461,0.26,265
459,0.2625,304
455,0.265,18
83,0.265,231
347,0.27,398
490,0.27,244
64,0.2725,159
133,0.2725,338
495,0.28,130
278,0.28,369
369,0.28,399
111,0.2875,159
165,0.2925,367
294,0.2975,157
186,0.3025,55
98,0.3025,344
478,0.3025,304
242,0.305,11
225,0.3075,48
197,0.3075,137
434,0.3125,56
238,0.3125,115
63,0.315,29
350,0.3175,153
244,0.3175,282
357,0.3225,345
329,0.325,281
491,0.33,199
479,0.3325,271
447,0.335,97
407,0.335,78
402,0.335,51
359,0.335,364
356,0.3375,315
385,0.3425,114
196,0.3475,361
340,0.3475,17
229,0.3475,226
393,0.3525,378
383,0.3525,150
441,0.36,47
170,0.36,75
192,0.3625,342
47,0.365,85
286,0.37,129
17,0.37,97
258,0.3725,13
24,0.3725,284
102,0.3725,222
129,0.3775,110
180,0.3775,216
283,0.3775,107
476,0.3775,294
198,0.38,384
28,0.38,97
172,0.38,212
343,0.39,323
224,0.3925,62
73,0.395,294
404,0.395,216
472,0.395,251
65,0.395,85
403,0.3975,363
181,0.4025,377
429,0.4025,174
147,0.41,272
106,0.4125,296
142,0.415,17
185,0.42,84
109,0.4225,85
394,0.425,141
362,0.4275,208
134,0.43,78
253,0.43,270
346,0.435,399
30,0.435,92
210,0.4375,128
463,0.44,106
31,0.44,136
342,0.4475,31
370,0.4475,119
143,0.4525,201
145,0.4525,260
220,0.455,271
384,0.455,173
374,0.4575,25
307,0.4575,116
81,0.4625,327
467,0.4625,331
72,0.4625,194
178,0.465,392
319,0.465,44
409,0.4675,214
146,0.4675,123
431,0.47,333
217,0.47,209
69,0.4725,292
488,0.4775,177
132,0.48,342
267,0.48,147
328,0.4925,256
365,0.5025,387
382,0.5025,362
298,0.505,19
236,0.5075,282
462,0.5075,314
237,0.51,166
49,0.5175,88
474,0.5175,45
62,0.52,76
59,0.52,154
275,0.5225,369
1,0.53,153
182,0.5325,24
97,0.5375,308
439,0.5425,369
471,0.5425,343
273,0.5425,346
205,0.545,207
338,0.555,276
38,0.5575,231
199,0.56,206
204,0.5625,28
215,0.5675,360
412,0.57,372
130,0.57,381
316,0.5725,98
358,0.585,349
26,0.5875,380
481,0.5925,293
29,0.5925,193
